Utt#,Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
,80,Mother,Violet010200,I'm not dying to do it .,Violet,432.943,436.5,"MOT brings CHI a velcro game to play , sits back down with CHI",[1|2|SUBJ 2|0|ROOT] [3|2|NEG] [4|2|PRED] [5|6|INF] [6|4|XCOMP] [7|6|OBJ 8|2|PUNCT],[pro:sub|I~cop|be&1S] [neg|not] [part|die-PRESP] [inf|to] [v|do] [pro:per|it .],,,,,,,,,,MotherofViolet_Violet010200_80
,81,Mother,Violet010200,wanna play this ?,Violet,436.5,438.82,[],[1|2|AUX] [2|0|ROOT] [3|2|OBJ 4|2|PUNCT],[mod:aux|wanna] [v|play] [pro:dem|this ?],,,,,,,,,,MotherofViolet_Violet010200_81
,82,Mother,Violet010200,who's this ?,Violet,438.82,445.09,[],[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|who~cop|be&3S] [pro:dem|this ?],,,,,,,,,,MotherofViolet_Violet010200_82
,83,Mother,Violet010200,mouse .,Violet,445.09,448.298,MOT shows CHI how to play the game,[1|0|INCROOT 2|1|PUNCT],[n|mouse .],,,,,,,,,,MotherofViolet_Violet010200_83
,84,Mother,Violet010200,we have_to stick them up here .,Violet,448.298,454.083,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|3|OBJ] [5|3|JCT] [6|3|JCT 7|3|PUNCT],[pro:sub|we] [mod:aux|have_to] [v|stick] [pro:obj|them] [adv|up] [adv|here .],,,,,,,,,,MotherofViolet_Violet010200_84
,85,Mother,Violet010200,if you want too yeah .,Violet,454.083,460.576,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|JCT] [5|3|COM 6|3|PUNCT],[conj|if] [pro:per|you] [v|want] [adv|too] [co|yeah .],,,,,,,,,,MotherofViolet_Violet010200_85
,86,Mother,Violet010200,bring the other one,Violet,0.0,0.0,[],[1|0|ROOT] [2|4|DET] [3|4|QUANT] [4|1|OBJ 5|4|LP],[v|bring] [det:art|the] [qn|other] [pro:indef|one cm|cm],,,,,,,,,,MotherofViolet_Violet010200_86
,86,Mother,Violet010200,there's another one to fold too up on the up on top of the bureau I think .,Violet,460.576,474.423,[],[6|7|SUBJ 7|4|CMOD] [8|9|QUANT] [9|7|PRED] [10|9|NJCT] [11|10|POBJ] [12|13|JCT] [13|23|JCT] [14|13|JCT] [15|16|DET] [16|14|POBJ] [17|16|NJCT] [18|17|POBJ] [19|18|NJCT] [20|21|DET] [21|19|POBJ] [22|23|SUBJ] [23|9|CJCT 24|1|PUNCT],[pro:exist|there~cop|be&3S] [qn|another] [pro:indef|one] [prep|to] [n|fold] [adv|too] [adv|up] [prep|on] [det:art|the] [adv|up] [prep|on] [n|top] [prep|of] [det:art|the] [n|bureau] [pro:sub|I] [v|think .],,,,,,,,,,MotherofViolet_Violet010200_86
,87,Violet,Violet010200,xxx xxx xxx .,Violet,474.423,483.065,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_87
,88,Violet,Violet010200,go yyy .,Violet,483.065,485.775,CHI picks up and plays with game pieces,[1|0|ROOT] [2|1|PUNCT],[v|go] [.],,,,,,,,,,VioletofViolet_Violet010200_88
,89,Violet,Violet010200,xxx xxx .,Violet,485.775,490.623,[],[],[],,,,,,,,,,VioletofViolet_Violet010200_89
,90,Mother,Violet010200,what's that ?,Violet,490.623,494.49,"CHI still plays with game pieces , looks back at MOT",[1|2|SUBJ 2|0|ROOT] [3|2|PRED 4|2|PUNCT],[pro:int|what~cop|be&3S] [pro:dem|that ?],,,,,,,,,,MotherofViolet_Violet010200_90
